age_years,calendar_year,co2_percent,fck_20_rh_65_mm,fck_30_rh_65_mm,fck_40_rh_65_mm,fck_50_rh_65_mm,fck_30_rh_50_mm,fck_30_rh_80_mm
61,2061,0.053995795,43.285540901,23.085315207,14.767593066,10.443117187,22.794160902,15.976514289
62,2062,0.054279498,43.644884600,23.276607863,14.889780735,10.529418922,22.983040955,16.108901039
63,2063,0.054558698,44.001375736,23.466379972,15.010996130,10.615033341,23.170419640,16.240235474
64,2064,0.054833496,44.355080895,23.654667091,15.131262020,10.699976558,23.356332063,16.370542200
65,2065,0.055103894,44.706061945,23.841502385,15.250599706,10.784263688,23.540810972,16.499844171
66,2066,0.055369995,45.054380584,24.026918792,15.369030274,10.867909650,23.723888888,16.628164180
67,2067,0.055631897,45.400096148,24.210947989,15.486574005,10.950928797,23.905597090,16.755524152
68,2068,0.055889496,45.743261472,24.393618441,15.603249255,11.033334194,24.085963685,16.881943786
69,2069,0.056143097,46.083936242,24.574961736,15.719076105,11.115139967,24.265019859,17.007444941
70,2070,0.056392499,46.422167195,24.755003203,15.834070964,11.196357842,24.442790626,17.132045149
71,2071,0.056637994,46.758010058,24.933772321,15.948252565,11.277000994,24.619305090,17.255764810
72,2072,0.056877197,47.091459406,25.111269475,16.061622833,11.357071752,24.794563632,17.378604190
73,2073,0.057108295,47.422519899,25.287499729,16.174186325,11.436574104,24.968571252,17.500566795
74,2074,0.057331396,47.751236941,25.462487362,16.285958606,11.515519075,25.141351924,17.621669426
75,2075,0.057546594,48.077654057,25.636255671,16.396954621,11.593917258,25.312928650,17.741928208
76,2076,0.057753998,48.401813787,25.808827397,16.507188943,11.671778973,25.483323884,17.861358877
77,2077,0.057953699,48.723756924,25.980224367,16.616675573,11.749114143,25.652559178,17.979976541
78,2078,0.058145795,49.043523126,26.150467792,16.725428107,11.825932401,25.820655475,18.097795876
79,2079,0.058330396,49.361151115,26.319578359,16.833459800,11.902243128,25.987633203,18.214831202
80,2080,0.058507397,49.676673525,26.487573798,16.940782159,11.978054559,26.153509867,18.331094788
81,2081,0.058676996,49.990128734,26.654474491,17.047408177,12.053375857,26.318305591,18.446600740
82,2082,0.058837799,50.301517084,26.820282724,17.153340393,12.128209439,26.482022635,18.561350640
83,2083,0.058988599,50.610841523,26.985001955,17.258581984,12.202558109,26.644664411,18.675346881
84,2084,0.059129596,50.918136641,27.148650578,17.363144686,12.276430151,26.806249081,18.788602192
85,2085,0.059260895,51.223433832,27.311245410,17.467039298,12.349833222,26.966793251,18.901128213
86,2086,0.059382495,51.526761123,27.472801619,17.570275631,12.422774326,27.126311896,19.012935440
87,2087,0.059494495,51.828147972,27.633334992,17.672863827,12.495260657,27.284820606,19.124034799
88,2088,0.059596997,52.127623158,27.792860944,17.774813781,12.567299231,27.442334601,19.234436959
89,2089,0.059689996,52.425212016,27.951393210,17.876134389,12.638896406,27.598867442,19.344151424
90,2090,0.059773499,52.720939369,28.108945230,17.976834353,12.710058396,27.754432400,19.453187496
91,2091,0.059847699,53.014833876,28.265532217,18.076923369,12.780792034,27.909044497,19.561555704
92,2092,0.059914996,53.306977525,28.421194612,18.176425627,12.851113455,28.062743662,19.669284035
93,2093,0.059977600,53.597448083,28.575970815,18.275364116,12.921038006,28.215567812,19.776399064
94,2094,0.060035498,53.886268734,28.729873312,18.373746887,12.990571419,28.367529276,19.882909434
95,2095,0.060088599,54.173460024,28.882913303,18.471581228,13.059718915,28.518639110,19.988822893
96,2096,0.060136597,54.459036480,29.035099095,18.568872738,13.128484623,28.668905520,20.094145193
97,2097,0.060179700,54.743024745,29.186444700,18.665630282,13.196874751,28.818342339,20.198886029
98,2098,0.060217700,55.025440495,29.336958898,18.761859689,13.264893546,28.966958237,20.303051479
99,2099,0.060250500,55.306301526,29.486651438,18.857567328,13.332545588,29.114762840,20.406648288
100,2100,0.060278198,55.585630004,29.635534109,18.952760722,13.399836187,29.261767787,20.509684616
