time,sample,n_simulations,P_failure,g_mean,g_std,g_min,g_max,carb_depth_mean,carb_depth_std,lambda_1_mean,lambda_2_mean,lambda_3_mean,lambda_4_mean
0,4,1000,0.0,19.10771114337877,0.04707971770645657,18.968073392617633,19.257683058531363,0.7845331792542197,0.04707971770645655,19.1073391857246,30.10253019315827,0.1649919969982559,0.14999093338603875
10,4,1000,0.0,13.372499958458393,0.1001330168087977,13.065492881876418,13.901224307934566,6.5197443641745965,0.10013301680879767,13.355597077343733,17.207517278246968,0.24520469819106258,-0.08587333714923638
20,4,1000,0.0,11.300955463385002,0.1830648289337965,10.708915888679135,11.803272180211245,8.591288859247989,0.1830648289337965,11.30421716100366,7.851257137547377,0.13124909178521965,0.16499856172326177
30,4,1000,0.0,9.263241781731743,0.2274827881878628,8.485044944693689,9.965404990814694,10.629002540901249,0.2274827881878628,9.263944698734521,6.7923368791115415,0.09615966400801149,0.1019266616937091
40,4,1000,0.0,7.6697512214154795,0.2676520451990511,6.881402577840875,8.593567964764459,12.22249310121751,0.2676520451990511,7.669265186815243,5.320959878657022,0.15574560988691344,0.15230143238400554
50,4,1000,0.0,6.252575300672632,0.2525437250583608,5.277538912398189,7.058028862332447,13.639669021960358,0.2525437250583608,6.248348488481737,6.0976579549035375,0.11730436567953267,0.08602994244020248
60,4,1000,0.0,4.788041072718006,0.36324954793775927,3.4572456791551147,5.861771899959084,15.104203249914985,0.36324954793775927,4.775034670748515,3.835940922145013,0.2053019797430946,0.1369328923405275
70,4,1000,0.0,3.3950381976685886,0.4265507927316,2.2675362984133045,4.438580585758855,16.497206124964404,0.4265507927316,3.398950651384801,2.8967413622974547,0.248915502480715,0.2668469831156467
80,4,1000,0.0,2.2343685223180083,0.4153609550866798,0.536501815523831,3.8077107356927478,17.657875800314983,0.4153609550866798,2.238466537373672,3.7794046566223773,0.0796883956689812,0.0980502953450128
90,4,1000,0.003,1.214855300543908,0.4429959599658348,-0.20825232990552678,2.551743589391794,18.677389022089084,0.4429959599658348,1.211947244661822,3.1853256251953153,0.16674816320089336,0.15427311331703772
100,4,1000,0.515,-0.02174343351690298,0.44049112423280173,-1.5892479080704476,1.3328941742970244,19.913987756149893,0.44049112423280173,-0.013455198349882203,3.355577585680272,0.11133634541757244,0.1467813880918425
0,5,1000,0.0,15.14270121428958,0.046256980818653606,14.995294937948094,15.3799404804745,0.6812952420717611,0.04625698081865359,15.14208117045987,36.680427036988974,0.05241127736624886,0.027807995660560587
10,5,1000,0.0,9.104767246428098,0.10082888049113391,8.812737943513682,9.42115994111873,6.719229209933243,0.1008288804911339,9.103766450070712,12.453175567396604,0.2553040637592941,0.2359673890030161
20,5,1000,0.0,6.652746104712827,0.2127427176828599,6.088306504984402,7.258792444031158,9.171250351648512,0.2127427176828599,6.63744365207079,5.717743814107406,0.34765963050973164,0.2055126183334796
30,5,1000,0.0,4.508770005710694,0.24527104881687653,3.684954593509243,5.247120671732834,11.315226450650647,0.24527104881687653,4.506569131585796,5.714921030158068,0.17377775908240525,0.15670072976704613
40,5,1000,0.0,2.7724949506423253,0.2911961004111767,1.9026067857334077,3.6597130843172057,13.051501505719015,0.2911961004111767,2.771512007868414,5.185931966346884,0.11734020870599289,0.11101231235622314
50,5,1000,0.0,1.4099768024945096,0.3471257761514959,0.31201118085025215,2.3753025530513927,14.414019653866832,0.347125776151496,1.4311591247690942,3.813103217374696,0.1522067374995997,0.27043910806437493
